author	n_ayets	d_rate_s02	d_rate_s05	d_rate_s08	slope	intercept	mean_divergence	var_divergence
cemalkulunkoglu	164	0.03048780487804878	0.08536585365853659	0.4573170731707317	0.7113821138211381	-0.16463414634146337	0.1910569105691057	0.035949170467314426
mehmetturk	164	0.04878048780487805	0.10365853658536585	0.42073170731707316	0.6199186991869918	-0.11890243902439024	0.19105691056910568	0.02687718950360235
aakgul	164	0.08536585365853659	0.03048780487804878	0.45121951219512196	0.6097560975609756	-0.11585365853658533	0.18902439024390247	0.03487507436049971
kadricelik	164	0.04878048780487805	0.09146341463414634	0.4268292682926829	0.630081300813008	-0.1260162601626015	0.18902439024390247	0.028579218719016457
muhammedesed	164	0.07317073170731707	0.06097560975609756	0.4329268292682927	0.5995934959349594	-0.11077235772357721	0.18902439024390247	0.029768986714257383
bayraktar	164	0.024390243902439025	0.09146341463414634	0.4451219512195122	0.701219512195122	-0.1636178861788618	0.1869918699186992	0.034065371141516296
hayrat	164	0.042682926829268296	0.06097560975609756	0.4573170731707317	0.6910569105691058	-0.1585365853658537	0.1869918699186992	0.036593628131403266
ismailyakit	164	0.03048780487804878	0.07317073170731707	0.4573170731707317	0.7113821138211383	-0.16869918699186992	0.1869918699186992	0.03684149646374513
orhankuntman	164	0.04878048780487805	0.06097560975609756	0.45121951219512196	0.6707317073170732	-0.1483739837398374	0.1869918699186992	0.0349329103047128
demiryent	164	0.036585365853658534	0.10365853658536585	0.42073170731707316	0.6402439024390243	-0.13313008130081297	0.18699186991869918	0.02806695749884328
ahmetvarol	164	0.04878048780487805	0.0975609756097561	0.40853658536585363	0.5995934959349593	-0.11483739837398368	0.18495934959349594	0.025389979509551186
diyanetisleriyeni	164	0.03048780487804878	0.09146341463414634	0.4329268292682927	0.6707317073170731	-0.1504065040650406	0.18495934959349594	0.03136360631899002
erhanaktas	164	0.042682926829268296	0.08536585365853659	0.4268292682926829	0.6402439024390243	-0.1351626016260162	0.18495934959349594	0.02955416749289444
ilyasyorulmaz	164	0.054878048780487805	0.0975609756097561	0.4024390243902439	0.5792682926829268	-0.10467479674796745	0.18495934959349594	0.02395234318196841
bahaeddinsaglam	164	0.06097560975609756	0.07926829268292683	0.40853658536585363	0.5792682926829268	-0.10670731707317069	0.1829268292682927	0.02550565139797739
diyanetislerieski	164	0.024390243902439025	0.07317073170731707	0.45121951219512196	0.7113821138211383	-0.17276422764227642	0.1829268292682927	0.03638707118778506
diyanetvakfi	164	0.042682926829268296	0.0975609756097561	0.40853658536585363	0.6097560975609755	-0.12195121951219504	0.1829268292682927	0.02595181439619274
mehmetokuyan	164	0.024390243902439025	0.07317073170731707	0.45121951219512196	0.7113821138211383	-0.17276422764227642	0.1829268292682927	0.03638707118778506
spiris	164	0.024390243902439025	0.09146341463414634	0.4329268292682927	0.6808943089430893	-0.15752032520325196	0.1829268292682927	0.031999801705334126
abulac	164	0.054878048780487805	0.08536585365853659	0.4024390243902439	0.5792682926829269	-0.108739837398374	0.18089430894308944	0.024695948178993992
elmalilisade	164	0.054878048780487805	0.0975609756097561	0.3902439024390244	0.5589430894308943	-0.09857723577235772	0.18089430894308944	0.022217264855575385
ismailhakkiizmirli	164	0.018292682926829267	0.04878048780487805	0.47560975609756095	0.7621951219512195	-0.20020325203252032	0.18089430894308944	0.043583515103443715
sates	164	0.036585365853658534	0.10975609756097561	0.39634146341463417	0.5995934959349594	-0.11890243902439024	0.18089430894308944	0.024101064181373522
ynuri	164	0.018292682926829267	0.0975609756097561	0.4268292682926829	0.6808943089430894	-0.15955284552845528	0.18089430894308944	0.03128924581928746
golpinarli	164	0.036585365853658534	0.10365853658536585	0.39634146341463417	0.5995934959349594	-0.1209349593495935	0.17886178861788618	0.024398506180183757
haydarozturkserkanyilmaz	164	0.018292682926829267	0.10365853658536585	0.4024390243902439	0.6402439024390244	-0.14532520325203252	0.17479674796747968	0.02712505783594422
mustafacavdar	164	0.036585365853658534	0.0975609756097561	0.3902439024390244	0.5894308943089431	-0.11991869918699188	0.17479674796747968	0.02382840901579748
kuranyolu	164	0.042682926829268296	0.08536585365853659	0.38414634146341464	0.5691056910569106	-0.1138211382113821	0.17073170731707318	0.023076541741027166
mehmetcoban	164	0.08536585365853659	0.054878048780487805	0.36585365853658536	0.46747967479674796	-0.06504065040650406	0.16869918699186992	0.019589860532751666
mahmutkisa	164	0.07926829268292683	0.054878048780487805	0.34146341463414637	0.4369918699186992	-0.05995934959349594	0.15853658536585366	0.0168302597660123
ahmettekin	164	0.07926829268292683	0.04878048780487805	0.34146341463414637	0.4369918699186992	-0.06199186991869918	0.15650406504065043	0.017259898208738186
