author	n_ayets	d_rate_s02	d_rate_s05	d_rate_s08	slope	intercept	mean_divergence	var_divergence	cluster_id
mahmutozdemir	164	0.0426829268292682	0.1341463414634146	0.5121951219512195	0.782520325203252	-0.1615853658536584	0.2296747967479675	0.0413031264458986	0
hbasricantay	164	0.1036585365853658	0.0914634146341463	0.4939024390243902	0.6504065040650406	-0.0955284552845528	0.2296747967479674	0.0349329103047128	0
elmaliliorj	164	0.0426829268292682	0.1280487804878048	0.5	0.7621951219512193	-0.1575203252032519	0.2235772357723577	0.0394193271201004	0
syildirim	164	0.073170731707317	0.0670731707317073	0.524390243902439	0.7520325203252032	-0.1544715447154471	0.2215447154471544	0.0458639037609888	0
aparliyan	164	0.0853658536585365	0.0792682926829268	0.4512195121951219	0.6097560975609756	-0.0995934959349593	0.2052845528455284	0.0302481988234516	0
edip	164	0.0426829268292682	0.1036585365853658	0.4695121951219512	0.711382113821138	-0.1504065040650405	0.2052845528455284	0.0355277943023332	0
besimatalay	164	0.0304878048780487	0.1341463414634146	0.4390243902439024	0.6808943089430894	-0.1392276422764227	0.2012195121951219	0.0300664287130676	2
omernasuhi	164	0.0365853658536585	0.0975609756097561	0.4695121951219512	0.7215447154471544	-0.1595528455284552	0.2012195121951219	0.0366101526868927	0
simsek	164	0.0609756097560975	0.1097560975609756	0.4329268292682927	0.6199186991869919	-0.108739837398374	0.2012195121951219	0.0272407297243704	2
abayindir	164	0.0609756097560975	0.0914634146341463	0.4390243902439024	0.6300813008130081	-0.1178861788617886	0.1971544715447154	0.0294054464934893	0
alifikriyavuz	164	0.0365853658536585	0.1036585365853658	0.4512195121951219	0.6910569105691056	-0.1483739837398373	0.1971544715447154	0.0330243241456804	0
ihsanaktas	164	0.1036585365853658	0.0426829268292682	0.4451219512195122	0.5691056910569106	-0.0873983739837398	0.1971544715447154	0.03136360631899	0
baltacioglu	164	0.0609756097560975	0.1280487804878048	0.3902439024390244	0.548780487804878	-0.08130081300813	0.1930894308943089	0.0201847445303721	2
islamoglu	164	0.0670731707317073	0.0792682926829268	0.4329268292682927	0.6097560975609756	-0.1117886178861788	0.1930894308943089	0.0287857756626346	0
mehmetcakir	164	0.0548780487804878	0.073170731707317	0.4512195121951219	0.660569105691057	-0.1371951219512195	0.1930894308943089	0.033371339810959	0
cemalkulunkoglu	164	0.0304878048780487	0.0853658536585365	0.4573170731707317	0.7113821138211381	-0.1646341463414633	0.1910569105691057	0.0359491704673144	0
mehmetturk	164	0.048780487804878	0.1036585365853658	0.4207317073170731	0.6199186991869918	-0.1189024390243902	0.1910569105691056	0.0268771895036023	2
aakgul	164	0.0853658536585365	0.0304878048780487	0.4512195121951219	0.6097560975609756	-0.1158536585365853	0.1890243902439024	0.0348750743604997	0
kadricelik	164	0.048780487804878	0.0914634146341463	0.4268292682926829	0.630081300813008	-0.1260162601626015	0.1890243902439024	0.0285792187190164	2
muhammedesed	164	0.073170731707317	0.0609756097560975	0.4329268292682927	0.5995934959349594	-0.1107723577235772	0.1890243902439024	0.0297689867142573	0
bayraktar	164	0.024390243902439	0.0914634146341463	0.4451219512195122	0.701219512195122	-0.1636178861788618	0.1869918699186992	0.0340653711415162	0
hayrat	164	0.0426829268292682	0.0609756097560975	0.4573170731707317	0.6910569105691058	-0.1585365853658537	0.1869918699186992	0.0365936281314032	0
ismailyakit	164	0.0304878048780487	0.073170731707317	0.4573170731707317	0.7113821138211383	-0.1686991869918699	0.1869918699186992	0.0368414964637451	0
orhankuntman	164	0.048780487804878	0.0609756097560975	0.4512195121951219	0.6707317073170732	-0.1483739837398374	0.1869918699186992	0.0349329103047128	0
demiryent	164	0.0365853658536585	0.1036585365853658	0.4207317073170731	0.6402439024390243	-0.1331300813008129	0.1869918699186991	0.0280669574988432	2
ahmetvarol	164	0.048780487804878	0.0975609756097561	0.4085365853658536	0.5995934959349593	-0.1148373983739836	0.1849593495934959	0.0253899795095511	2
diyanetisleriyeni	164	0.0304878048780487	0.0914634146341463	0.4329268292682927	0.6707317073170731	-0.1504065040650406	0.1849593495934959	0.03136360631899	2
