t,segment_id,meal_slug,sure,ayet,class,cond,A0_ABL_score,T0_DAT_score,B_abl,T_teleo,Pi,D_c
0,ahmettekin_s002_a010,ahmettekin,2,10,ABL_dominant,0,1.000000,0.000000,0.350000,0.000000,0.350000,0
1,ahmettekin_s002_a010,ahmettekin,2,10,ABL_dominant,0,1.000000,0.000000,0.647500,0.000000,0.647500,0
2,ahmettekin_s002_a010,ahmettekin,2,10,ABL_dominant,0,1.000000,0.000000,0.900375,0.000000,0.900375,0
3,ahmettekin_s002_a010,ahmettekin,2,10,ABL_dominant,0,1.000000,0.000000,1.115319,0.000000,1.115319,0
4,ahmettekin_s002_a010,ahmettekin,2,10,ABL_dominant,0,1.000000,0.000000,1.298021,0.000000,1.298021,1
5,ahmettekin_s002_a010,ahmettekin,2,10,ABL_dominant,0,1.000000,0.000000,1.453318,0.000000,1.453318,1
0,ahmettekin_s008_a053,ahmettekin,8,53,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
1,ahmettekin_s008_a053,ahmettekin,8,53,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
2,ahmettekin_s008_a053,ahmettekin,8,53,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
3,ahmettekin_s008_a053,ahmettekin,8,53,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
4,ahmettekin_s008_a053,ahmettekin,8,53,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
5,ahmettekin_s008_a053,ahmettekin,8,53,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
0,ahmettekin_s007_a096,ahmettekin,7,96,ABL_dominant,0,1.000000,0.000000,0.350000,0.000000,0.350000,0
1,ahmettekin_s007_a096,ahmettekin,7,96,ABL_dominant,0,1.000000,0.000000,0.647500,0.000000,0.647500,0
2,ahmettekin_s007_a096,ahmettekin,7,96,ABL_dominant,0,1.000000,0.000000,0.900375,0.000000,0.900375,0
3,ahmettekin_s007_a096,ahmettekin,7,96,ABL_dominant,0,1.000000,0.000000,1.115319,0.000000,1.115319,0
4,ahmettekin_s007_a096,ahmettekin,7,96,ABL_dominant,0,1.000000,0.000000,1.298021,0.000000,1.298021,1
